Title,Lien,Baseline,Difficulty,Featured,Logo,Typologie,Published,Categorie,opensource,Pratiques,Objectifs projet,Défis,Défis créatifs,Lien d'apprentissage,Qui ?
Appypie,https://www.appypie.com/,Appypie permet de prototyper facilement différents types d'applications simples.,2,,information_literacy (https://dl.airtable.com/3YLHT9tKSbi242A8BjyJ_information_literacy),Plateforme,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
Design Better,https://www.designbetter.co/,Plateforme d'apprentissage qui réunit un certain nombre de bonnes pratiques à travers des livrets assez bien faits.,1,,design_better.png (https://dl.airtable.com/smAw0rwWSMuM0DhOdv43_design_better.png),Inspiration,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
Design Files,https://files.design/,,1,,designfiles.png (https://dl.airtable.com/zI2gf2tS02ZlhlKMeN9A_designfiles.png),"Bibliothèque,Template(s)",,App design,,"UI design,UX design","Concevoir,Tester",,,,
Diverse UI,https://diverseui.com/,,1,,Diverse_UI__Ui_Ux__Pinterest__Ui_ux (https://dl.airtable.com/.attachments/ee223b0bd203457869f410cfa472fea7/40a44c6c),Bibliothèque,,App design,,"UI design,UX design","Concevoir,Tester",,,,
Figma ,https://www.figma.com/,Interface en ligne pour faire des maquettes d'applications. L'interface est collaborative et assez intuitive.,3,,Figma_design_inspiration_and_user_flow_videos (https://dl.airtable.com/5rlSxKXnTuawOoruynzl_Figma_design_inspiration_and_user_flow_videos),Plateforme,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Framer,https://framer.com/,Framer est un logiciel complet de prototypage. Il permet aussi bien de collaborer que de recevoir du feedback.,3,,Framer_Careers_Funding_and_Management_Team__AngelList (https://dl.airtable.com/bkLmQ1KlRtGbgk0JBesO_Framer_Careers_Funding_and_Management_Team__AngelList),Logiciel,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Google Material Design guide,https://material.io/,Toute la documentation sur la philosophie 'Material design' proposée par Google et très largement utilisée sur le web,2,,Googles_design_guidelines_spell_the_end_of_days_for_skeumorphism (https://dl.airtable.com/h4YexFaASpG2JlYjNTt1_Googles_design_guidelines_spell_the_end_of_days_for_skeumorphism),Apprentissage,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
GridPrint ,https://gridprint.in/,Des griles à imprimer. Gridprint offre une quinzaine de grilles à télécharger et à imprimer pour prototyper des applications à la main.,1,,gridprint.jpg (https://dl.airtable.com/r3cXLcyDTlCPlaXVVM24_gridprint.jpg),"Bibliothèque,Template(s)",checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
inVision ,https://www.invisionapp.com/,"inVision offre des capacités très intéressantes de prototypage en ligne, avec une multitude de fonctionnalités collaboratives faites pour aider les designers.",4,,InVision__Worldvectorlogo (https://dl.airtable.com/wOrxsOTXG4aZxYusRDPQ_InVision__Worldvectorlogo),Plateforme,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
POPapp,https://marvelapp.com/pop,Transformer des dessins en appli. POP permet de transformer très facilement des dessins faits sur papier en une application cliquable.,2,,POPAPP_Careers_Funding_and_Management_Team__AngelList (https://dl.airtable.com/M957E2tQ9KwOgDHZkDR0_POPAPP_Careers_Funding_and_Management_Team__AngelList),App,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
PPT Mockup,https://www.powermockup.com/,Une collection d'éléments visuels pour pouvoir faire du maquettage d'applications dans Powerpoint. On peut même lier certaines pages entre elles pour faire un démonstrateur cliquable,2,,PowerMockup__GDGizmo (https://dl.airtable.com/.attachments/5936a3e43fc1efda5379cdb6ffd5e82e/345398ff/PowerMockup__GDGizmo),Template(s),checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
ProtoPie,https://www.protopie.io/,Logiciel de prototypage d'applications ultra-intuitif.,2,,ProtoPie (https://dl.airtable.com/dmFzH66JQ2y8m10r8zpl_ProtoPie),Plateforme,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Sketch ,https://www.sketchapp.com/,"En quelques années seulement, Sketch est devenu LA référence pour construire des applications. Une série de plugins (dont Craft) permettent d'en faire un outil sur-puissant.",3,,Sketch_-_Press (https://dl.airtable.com/0kobAJKRS8OjGKVAEuGG_Sketch_-_Press),Logiciel,checked,App design,,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Tethr,https://www.invisionapp.com/tethr,"Un kit gratuit ultra-complet avec des centaines de templates pour Invision, Sketch et Craft.",3,,Tethr__Made_with_Sketch (https://dl.airtable.com/dn0seR3jTEe8i6s5Ow7X_Tethr__Made_with_Sketch),Template(s),checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
UI faces,http://www.uifaces.com/,Une série d'images carrées à utiliser pour faire des faux utilisateurs dans une maquette d'application.,1,,uifaces.jpg (https://dl.airtable.com/e4wSj6GRhy6i30uHQ2Gv_uifaces.jpg),Bibliothèque,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
UI freebies,https://uispace.net/,"Plein d'éléments à télécharger pour Sketch, Illustrator, Adobe XD, etc.",1,,uispace.png (https://dl.airtable.com/2LmSIoZ0Quaa2CMP5hQK_uispace.png),Bibliothèque,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
UI stencils,https://www.uistencils.com/products,Une série de pochoirs pour dessiner des fonctionnalités d'une application. Peut ensuite être combiné à POP App pour faire un prototype cliquable.,2,,UI_Stencils_uistencils__Twitter (https://dl.airtable.com/.attachments/8f0d47d73feb903dac92406027cd60db/94a263a5/UI_Stencils_uistencils__Twitter),Hardware,checked,App design,,"UI design,UX design","Concevoir,Tester",,,,
Appsheet,https://www.appsheet.com/,"Appsheet permet de créer facilement des applications statiques à partir d'un tableau Excel (dont, des applis avec éléments géolocalisés).",2,,The_no-code_app_maker_for_Google_Sheets_Excel_and_more._Create_... (https://dl.airtable.com/t6WeZC1ZTauYCa1xATyK_The_no-code_app_maker_for_Google_Sheets_Excel_and_more._Create_...),Webapp,,"App design,Sites sans code",,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Bubble,https://bubble.is/,,4,checked,Dan_Smolkin__Startup_Founder_Bubble_Expert_and_Creator_of_... (https://dl.airtable.com/i7ceanyDSjivJ0mPIIuR_Dan_Smolkin__Startup_Founder_Bubble_Expert_and_Creator_of_...),Plateforme,,"Sites sans code,App design",,"UX design,UI design","Communiquer,Tester,Concevoir",,,,
Glide,https://www.glideapps.com/,,3,,Create_an_App_from_a_Google_Sheet_in_Minutes__Glide (https://dl.airtable.com/.attachments/518f028a6ac71badd5bb20104cc43cbc/ab6687cf/Create_an_App_from_a_Google_Sheet_in_Minutes__Glide),Plateforme,checked,"App design,Sites sans code",,"UI design,UX design","Concevoir,Tester",,,,
Userflow,https://overflow.io/,,3,,Overflow_on_Twitter_Guess_what_You_can_start_syncing_your_... (https://dl.airtable.com/.attachments/e14fa814a732aa6bfd2d8cb39fcf1a46/7281f403),Plateforme,checked,"App design,Sites sans code",,"UI design,UX design","Concevoir,Tester",Interface cliquable,,,
Amplitude,https://amplitude.com/,Data analytics,,,Amplitude_Analytics_Data_Mobile_web_analytics_web_development_... (https://dl.airtable.com/.attachments/c110c570274e08d2c4076c580635d2c1/f2d2d753/Amplitude_Analytics_Data_Mobile_web_analytics_web_development_...),,,Code et web,,Market research,Tester,,,,
Atom,https://atom.io/,Editeur de code développé par Github  Entièrement customisable. Plutôt pour les développeurs avancés.,2,,New_Atom_logo_and_icon_-_Atom_Discussion (https://dl.airtable.com/taduTpFqQX6isY2QmU0f_New_Atom_logo_and_icon_-_Atom_Discussion),Logiciel,checked,Code et web,checked,"UI design,UX design",Concevoir,Landing page,,,
Bootstrap,http://getbootstrap.com,Le framework CSS de référence. Bootstrap est une série de classes CSS et fonctions JS qui permettent de monter un site propre très rapidement. Possibilité d'avoir différents thèmes. De nombreux sites proposent des templates qui s'appuient sur Bootstrap.,2,,Brand_guidelines__Bootstrap (https://dl.airtable.com/6mfd0vGjSxyP5KiplZ17_Brand_guidelines__Bootstrap),Framework,checked,Code et web,checked,"UI design,UX design",Concevoir,Landing page,,,
Bootstrap themes,http://themes.getbootstrap.com,"Bibiltiothèques de templates Bootstrap. Tous les thèmes sont payants, mais ils permettent de gagner du temps. Certains permettent de produire des applciations assez complexes.",3,,Brand_guidelines__Bootstrap (https://dl.airtable.com/ZbxxeUWTF63eo2m9bfwY_Brand_guidelines__Bootstrap),Bibliothèque,checked,Code et web,,"UI design,UX design","Communiquer,Tester",Site fonctionnel ,,,
Code.org,http://code.org,Plateforme d'apprentissage du code. Avec différentes cours et applications in-browser.,1,,FileCode.org_logo.svg_-_Wikimedia_Commons (https://dl.airtable.com/lwkFUrCcR2K55bFWs7eq_FileCode.org_logo.svg_-_Wikimedia_Commons),Apprentissage,checked,Code et web,,"UI design,UX design",Se former,,,,
Codecademy,https://www.codecademy.com/,"Plateforme d'apprentissage du code. Tous les langages ou presque peuvent s'apprendre sur Codecademy, à travers des exercices en ligne.",2,,Codecademy_Careers_Funding_and_Management_Team__AngelList (https://dl.airtable.com/Atf2stmeSwWwo2rYJAh8_Codecademy_Careers_Funding_and_Management_Team__AngelList),Apprentissage,checked,Code et web,,"UI design,UX design",Se former,,,,
CodeCombat ,https://codecombat.com/,"Apprendre le code par le jeu. Permet d'apprendre javascript à travers plusieurs niveaux. Les jeux ressemblent à des jeux d'aventure, de combat ou d'exploration.",1,,Code_Combat (https://dl.airtable.com/wspUSvwTTeg7B4WEnlJv_Code_Combat),Apprentissage,checked,Code et web,,"UI design,UX design",Se former,,,,
Commento,https://commento.io/,Outil de commentaires clé en main,2,,Commento_A_fast_privacy-focused_commenting_platform (https://dl.airtable.com/.attachments/0218544bd4e04cf51ced1d94cb7345d1/547f3ffd/Commento_A_fast_privacy-focused_commenting_platform),Plateforme,checked,Code et web,,"UI design,UX design",Concevoir,,,,
Creative Tim,https://www.creative-tim.com/,Bibliothèque de templates HTML propres et simples à utliiser. ,1,,Creative_Tim_-_Awesome_Bootstrap_freebies_and_templates_to_build_... (https://dl.airtable.com/xXNanGZkTKGyj91JpOBC_Creative_Tim_-_Awesome_Bootstrap_freebies_and_templates_to_build_...),"Bibliothèque,Template(s)",checked,Code et web,,"UI design,UX design","Communiquer,Tester",Site fonctionnel ,,,
Flukeout,http://flukeout.github.io/,Plateforme d'apprentissage CSS. Ce petit jeu rigolo permet d'apprendre à utiliser les différents sélectionneurs CSS en les comparant à de la nourriture.,1,,flukeout.png (https://dl.airtable.com/dR4bTlprQTmPFbewbhLt_flukeout.png),Apprentissage,checked,Code et web,,"UI design,UX design",Se former,,,,
Fork'ngo,http://jlord.us/forkngo/,Templates de sites avec des fonctionnalités de base. Tous sont hébergés sur github.io. Faciles à dupliquer et modifier.,2,,forkngo.png (https://dl.airtable.com/zIv9PAO0RTSNWZhxXxlo_forkngo.png),Template(s),checked,Code et web,checked,"UI design,UX design","Concevoir,Tester",Landing page,,,
Formspree,https://formspree.io,,,,,,,Code et web,,,,,,,
Freefrontend,http://freefrontend.com,,1,,freefrontend.jpg (https://dl.airtable.com/6TtczHFlQm2dnolQfZ8P_freefrontend.jpg),Bibliothèque,,Code et web,,"UI design,UX design",Concevoir,Landing page,,,
Froala,https://www.froala.com/pages,Outil simplifié de construction de pages HTML,2,,Froala_froala__Twitter (https://dl.airtable.com/.attachments/e92a5cc9336e2b8a0451a896b13a09ad/4e6a7043/Froala_froala__Twitter),Webapp,checked,Code et web,,UX design,Communiquer,Landing page,,,
Github ,https://github.com,La référence pour partager du code et travailler dessus à plusieurs. L'application locale permet de gérer facilement tous les aspects qui peuvent être complexes avec l'utilisation de Git (système de gestion de versions décentralisé).,4,,Github_Logo_-_Free_social_media_icons (https://dl.airtable.com/kb4HEoP0SKav7jB9vG9m_Github_Logo_-_Free_social_media_icons),Plateforme,checked,Code et web,,"UI design,UX design,Open Source","Concevoir,Tester,S'organiser","Landing page,Site fonctionnel ",,,
Glitch ,https://glitch.com,"Éditeur de code collaboratif et en ligne. Tous les projets sont associés à un hébergement. Il est très facile de déployer des serveurs node.js, mais aussi de 'forker' des projets. Très cool à utiliser comme bac à sable pour des 'petits' projets test. ",3,,Glitch__Slack_App_Directory (https://dl.airtable.com/TQTopqOaRYGulGrkirIz_Glitch__Slack_App_Directory),Plateforme,checked,Code et web,,"UI design,UX design,Maker,Open Source","Concevoir,Tester",Landing page,,,
HTML5up,https://html5up.net/,Bibliothèque de onepagers HTML propres. Facile à utiliser ensuite,1,,wwwhere_freebies (https://dl.airtable.com/qivfezFZSK2ZWHdUJvuA_wwwhere_freebies),"Bibliothèque,Template(s)",checked,Code et web,,,"Communiquer,Tester",Site fonctionnel ,,,
jsfiddle,https://jsfiddle.net/,Bac à sable de code. Cette petite application permet de tester facilement et de partager des morceaux de code HTML / CSS / JS. Voir aussi Codepen.io.,1,,FileJsfiddle-logo.png_-_Wikimedia_Commons (https://dl.airtable.com/GhUJ6qWRQy6JjD4Y76o8_FileJsfiddle-logo.png_-_Wikimedia_Commons),Webapp,checked,Code et web,,"UI design,UX design",Tester,,,,
Kano playground ,http://art.kano.me/playground,Bac à sable pour dessiner avec du code de manière très simple. Idéal pour sensibiliser les enfants au code,2,,Kano_Careers_Funding_and_Management_Team__AngelList (https://dl.airtable.com/8xlMo7iXSFO20WVU4Odt_Kano_Careers_Funding_and_Management_Team__AngelList),"Plateforme,Apprentissage",checked,Code et web,,"UI design,UX design",Se former,,,,
Kirby ,http://getkirby.com,"Outil de gestion de sites (CMS) PHP simple à utiliser. Sans base de donnée, toutes les informations sont enregistrées dans des fichiers .txt. Communauté active et très réactive. ",3,checked,Kirby_getkirby__Twitter (https://dl.airtable.com/O39uhl90T3Ocv0bNju7F_Kirby_getkirby__Twitter),"Framework,Bibliothèque",checked,Code et web,checked,,"Communiquer,Tester",Site fonctionnel ,,,
Matomo,http://matomo.org,,,,Matomo_Analytics_matomo_org__Twitter (https://dl.airtable.com/.attachments/cd6229ece68fd27f98d8aefaf2bb6cbf/3edc4952/Matomo_Analytics_matomo_org__Twitter),,,Code et web,,,,,,,
Storybook ,https://storybook.js.org/,Environnement de développement qui permet de gérer une bibliothèque de templates pour synchroniser des éléments entre les membres d'une équipe. ,3,,Topic_storybooks__GitHub (https://dl.airtable.com/woRjxbM2QiO7C3fUpdr8_Topic_storybooks__GitHub),Template(s),checked,Code et web,checked,"UI design,UX design",Documenter,,,,
Sublime 2 ,https://www.sublimetext.com/,Éditeur de code de référence. Bourré de fonctionnalités pratiques pour les codeurs. Gratuit jusqu'à ce qu'on paie.,1,,Sublime_Text_-_Wikipedia (https://dl.airtable.com/zvpAePVIT5CFRoLD2NP1_Sublime_Text_-_Wikipedia),Logiciel,checked,Code et web,,"UI design,UX design",Concevoir,Landing page,,,
Tympanus,http://tympanus.net,"Bibliothèque d'effets CSS / JS. La référence pour trouver des effets UI intéressants (boutons, hovers, etc.). Facile à mettre en place ensuite. ",1,,Codrops__Useful_resources_and_inspiration_for_creative_minds (https://dl.airtable.com/qYPAXE8S82tTrdVZvOxc_Codrops__Useful_resources_and_inspiration_for_creative_minds),Bibliothèque,checked,Code et web,,"UI design,UX design",Concevoir,Landing page,,,
AppearIn,https://appear.in/,Permet de créer des vidéo-conférences sans mot de passe et sans installation. Jusqu'à 4 personnes dans la version gratuite.,2,,appear.in__Slack_App_Directory (https://dl.airtable.com/1HRMTIi9Qcadbwt5moFX_appear.in__Slack_App_Directory),Webapp,checked,Communication ,,,"S'organiser,Communiquer",,,,
Chatstep,https://chatstep.com/,"Chatstep permet de créer simplement des chatrooms, qui peuvent être utilisées avec un compte ou de manière anonyme. ",1,,Explained_What_is_ChatStep_- (https://dl.airtable.com/KfuyEnWBRmuOulosBKOo_Explained_What_is_ChatStep_-),Plateforme,checked,Communication ,,,"S'organiser,Communiquer",,,,
Crew,https://crewapp.com,,,,Crew_Messaging_and_Scheduling_by_Speramus_Inc. (https://dl.airtable.com/oHak1uKwQmuIC6d2fjgh_Crew_Messaging_and_Scheduling_by_Speramus_Inc.),,,Communication ,,,"S'organiser,Communiquer",,,,
Discourse,https://www.discourse.org/,"Discourse est la plate-forme de discussion 100% open source construite pour la prochaine génération d'Internet. Peut-être utilisée comme: liste de diffusion, forum de discussion, etc. Idéal pour supporter une communauté ouverte.",3,,Brand_assets_for_Discourse_-_meta_-_Discourse_Meta (https://dl.airtable.com/uDA1AsaTrahcPYgJU4dv_Brand_assets_for_Discourse_-_meta_-_Discourse_Meta),Plateforme,checked,Communication ,checked,,"S'organiser,Communiquer",,,,
Miro,https://miro.com/,,,,Miro_Feed__Slack_App_Directory (https://dl.airtable.com/.attachments/c7e865f3adff252f0631207e3ae3e4db/969c62fb/Miro_Feed__Slack_App_Directory),Plateforme,,Communication ,,,,,,,
Salles de conférence OVH,https://www.ovh.com/cgi-bin/telephony/webconf.pl,On peut à cette adresse générer un numéro de salle de conférence téléphonique gratuitement,1,,OVH__Guide_du_Cloud_et_des_Datacenters (https://dl.airtable.com/Ia9SxxL9SlE4XRVbOmAW_OVH__Guide_du_Cloud_et_des_Datacenters),Webapp,checked,Communication ,,,"S'organiser,Communiquer",,,,
Slack,https://slack.com,Slack est devenue en quelques années LA référence pour le travail en équipe. Des channels permettent de constituer des groupes de discussion. L'intégration avec de nombreux outils permet de centraliser toutes les notifications.,2,,Where_work_happens__Slack (https://dl.airtable.com/WVxuZXd2Sai7pdO0vV3C_Where_work_happens__Slack),"Logiciel,App,Plateforme,API",checked,Communication ,,,"S'organiser,Communiquer",,,,
Spectrum,https://spectrum.chat/,"Spectrum veut être la plateforme communautaire du futur, qui facilite la croissance de communautés en ligne sûres et construites pour durer.",2,,Spectrum_withspectrum__Twitter (https://dl.airtable.com/KZ8yCFeJSuutOxB3rsfN_Spectrum_withspectrum__Twitter),Plateforme,checked,Communication ,,,"S'organiser,Communiquer",,,,
Substack,https://substack.com/,Newsletter simple. Avec possibilité de paiement,1,,Substack_SubstackInc__Twitter (https://dl.airtable.com/.attachments/cb2dd17a659b7d9a5ae84e4909d83c04/d0b0cdda/Substack_SubstackInc__Twitter),,,Communication ,,,,,,,
Telegram,https://telegram.org,Système de messagerie mobile cryptée prisée autant par les hackers que par les hauts fonctionnaires pour sa vitesse et son niveau de sécurité.,2,,Telegram_Messenger (https://dl.airtable.com/mb0nnGjbSHy1obzqmuVb_Telegram_Messenger),"App,Plateforme",checked,Communication ,,,"S'organiser,Communiquer",,,,
Twist,https://twistapp.com/,"Twist, c'est l'application de communication pour les équipes qui pensent que le travail, ce n'est pas seulement s'envoyer des messages sur le chat.",,,Twist_-_Team_Communication_on_the_App_Store (https://dl.airtable.com/JkIY4jTT2aiiaNKE8b61_Twist_-_Team_Communication_on_the_App_Store),,,Communication ,,,"S'organiser,Communiquer",,,,
Wire,https://wire.com/en/,,,,How_can_I_register_with_an_email__Wire__Support (https://dl.airtable.com/.attachments/2f870f309fa757241d7869d4fd169844/98ac059d/How_can_I_register_with_an_email__Wire__Support),,,Communication ,,,,,,,
Zello,https://zello.com/,"L'app Talkie-Walkie. Avec 120 millions d'utilisateurs dans le monde, l'application gratuite Zello est un réseau mondial de radio sociale. Utilisée aussi bien pendant les festivals que pendant les situations d'urgence.",2,,Zello_PTT_Walkie_Talkie_-_Apps_on_Google_Play (https://dl.airtable.com/pNFYbgTDW5t1YN8JWjAK_Zello_PTT_Walkie_Talkie_-_Apps_on_Google_Play),"App,Webapp",checked,Communication ,,,"S'organiser,Communiquer",,,,
Zoom ,https://zoom.us/,"Visioconférence et conférence en ligne. Zoom est le leader des communications vidéo d'entreprise modernes, avec une plate-forme cloud simple et fiable pour les conférences vidéo et audio, le chat et les webinaires, accessible sur mobile, ordinateur de bureau et salle de conférences.",2,,Zoom__Slack_App_Directory (https://dl.airtable.com/7dtYni7xRDS31TrgytlV_Zoom__Slack_App_Directory),"App,Logiciel",checked,Communication ,,,"S'organiser,Communiquer",,,,
Zulip,https://zulipchat.com/,"Slack, mais open source. Zulip combine l'immédiateté de Slack avec un modèle de threading par email. Avec Zulip, vous pouvez rattraper des conversations importantes tout en ignorant celles qui ne le sont pas.",3,,GitHub_-_zulipswift-zulip-api_A_Zulip_library_written_in_Swift. (https://dl.airtable.com/9YdqOSs8RvCFHsIqmFBg_GitHub_-_zulipswift-zulip-api_A_Zulip_library_written_in_Swift.),App,checked,Communication ,checked,,"S'organiser,Communiquer",,,,
Adalo,https://www.adalo.com/,Plateforme pour créer ses propres applications natives en drag & drop. Customisable à l'infini. On peut même intégrer son API,3,checked,Adalo_AdaloHQ__Twitter (https://dl.airtable.com/.attachments/56666365bf87df668596c445c05f10a9/46dea05c/Adalo_AdaloHQ__Twitter),Plateforme,checked,Sites sans code,,,,,,,
awwwards,http://awwwards.com,,,,Awwwards_website_logo_-_Free_logo_icons (https://dl.airtable.com/nB4KLIDQKmTFmOY6o19P_Awwwards_website_logo_-_Free_logo_icons),Inspiration,,Sites sans code,,,"Communiquer,Tester",,,,
Call to Idea,https://www.calltoidea.com/,Bibiliothèque d'exemples d'interfaces utilisateurs. On retrouve plusieurs thématiques avec des exemples tirés des principales plateformes web,1,,Calltoidea_-_Light_up_your_imagination (https://dl.airtable.com/rtrVzQzSSk23Tiwcl4Gy_Calltoidea_-_Light_up_your_imagination),Inspiration,,Sites sans code,,,"Communiquer,Tester",,,,
Cargo Collective,https://2.cargocollective.com/,,,,Cargo_cargocollective__Twitter (https://dl.airtable.com/d7JWTgmGT2CUDwMmppLE_Cargo_cargocollective__Twitter),Webapp,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
httpsters,https://httpster.net/,,,,wwwhere_httpster (https://dl.airtable.com/OOQdn3SxR9uPXpS0QyPP_wwwhere_httpster),Inspiration,,Sites sans code,,,"Communiquer,Tester",,,,
Interface lovers ,https://interfacelovers.com/,,,,Interface_Lovers_interfacelovers__Twitter (https://dl.airtable.com/kRTx3DSiTT2P2mdCHSsV_Interface_Lovers_interfacelovers__Twitter),Inspiration,,Sites sans code,,,"Communiquer,Tester",,,,
